parent_company,sector,total_scope1_emissions_mtco2e,facility_count
WESTLAKE CHEMICAL CORP,Chemicals/Materials,3201914.95,5
GENERATION HOLDINGS LP,Utilities,3176090.0,2
ASTORIA PROJECT PARTNERS LLC,Utilities,3136190.0,1
CARLYLE GROUP MANAGEMENT LLC,Utilities,3064921.0,3
SOUTH FIELD ENERGY LLC,Utilities,2971407.0,1
INEOS USA LLC,Chemicals/Materials,2954084.0,3
Guernsey Power Station LLC,Utilities,2936098.0,1
HUMMEL STATION LLC,Utilities,2909103.0,1
EIF CHANNELVIEW COGENERATION LLC,Utilities,2890021.0,1
BASF CORP,Chemicals/Materials,2840985.0,2
EL PASO ELECTRIC CO,Utilities,2798407.0,3
TENASKA INC,Utilities,2792383.0,2
WESTLAKE CORP,Utilities; Chemicals/Materials,2756534.0,2
GRAND RIVER DAM AUTHORITY,Utilities,2721427.08,2
PNM RESOURCES INC,Utilities,2695185.92,7
OSAKA GAS USA CORP,Utilities,2684129.04,4
MUNICIPAL ELECTRIC AUTHORITY OF GEORGIA,Utilities,2681872.1,2
MAJOR OAK POWER LLC,Utilities,2678550.0,1
NATIONAL GRID USA,Utilities,2650132.0,6
INDECK NILES LLC,Utilities,2628297.0,1
MOXIE FREEDOM LLC,Utilities,2530181.0,1
DELEK US HOLDINGS INC,Energy; Chemicals/Materials,2518659.0,4
HICKORY RUN ENERGY LLC,Utilities,2419495.0,1
TENASKA PENNSYLVANIA PARTNERS LLC,Utilities,2416499.0,1
AVISTA CORP,Utilities,2387027.77,3
NORTHWESTERN CORP,Utilities,2386017.75,7
PACIFIC GAS & ELECTRIC CO,Utilities,2385193.0,2
OTTER TAIL CORP,Utilities,2378090.38,4
OREGON CLEAN ENERGY CENTER,Utilities,2368019.0,1
FLORIDA MUNICIPAL POWER AGENCY,Utilities,2341526.0,2
CITY OF LOS ANGELES CALIFORNIA,Utilities,2303304.0,4
CLEAN ENERGY FUTURES - LORDSTOWN LLC,Utilities,2268187.0,1
HAMILTON LIBERTY LLC,Utilities,2267853.0,1
MIDDLE RIVER POWER LLC,Utilities,2233806.0,8
"Sandy Creek Energy Associates, LP",Utilities,2209326.53,1
THE CHEMOURS CO,Chemicals/Materials,2205373.0,8
KIOWA POWER PARTNERS LLC,Utilities,2201473.0,1
CARROLL COUNTY ENERGY LLC,Utilities,2192382.0,1
CHS INC,Energy; Chemicals/Materials,2166876.0,2
ODYSSEY ENERGY ALTURA COGEN LLC,Utilities,2163678.0,1
PLATTE RIVER POWER AUTHORITY,Utilities,2088075.52,2
OLD DOMINION ELECTRIC COOPERATIVE,Utilities,2081716.5,4
CITY UTILITIES OF SPRINGFIELD MISSOURI,Utilities,2073161.0,3
CPV POWER HOLDINGS LP,Utilities,2063518.71,4
COLORADO SPRINGS UTILITIES,Utilities,2022429.0,3
CONSOLIDATED EDISON INC,Utilities,1995501.0,1
LIBERTY UTILITIES CO,Utilities,1988097.38,5
CRICKET VALLEY ENERGY CENTER LLC,Utilities,1968352.0,1
PLATINUM EQUITY LLC,Utilities,1953011.0,1
WESTERN MINNESOTA MUNICIPAL POWER AGENCY,Utilities,1939956.92,2
DAIRYLAND POWER COOPERATIVE,Utilities,1920541.0,3
PLUM POINT ENERGY ASSOCIATES LLC,Utilities,1919433.37,1
HOLLYFRONTIER PUGET SOUND REFINING LLC,Energy,1900999.0,1
GOLDEN SPREAD ELECTRIC COOPERATIVE INC,Utilities,1894709.0,3
LINCOLN ELECTRIC SYSTEM,Utilities,1863627.6,4
TOTAL HOLDINGS USA INC,Energy,1860675.0,1
LOUISIANA GENERATING LLC,Utilities,1811262.34,1
SAN MIGUEL ELECTRIC COOPERATIVE INC,Utilities,1802760.0,1
TEXGEN POWER LLC,Utilities,1801739.0,3
SACRAMENTO MUNICIPAL UTILITY DISTRICT FINANCING AUTHORITY,Utilities,1786495.0,4
SUNFLOWER ELECTRIC POWER CORP,Utilities,1779961.0,4
NEW YORK POWER AUTHORITY,Utilities,1754003.0,9
INDORAMA VENTURES USA HOLDINGS LP,Chemicals/Materials,1735619.0,2
TENASKA FRONTIER PARTNERS LTD,Utilities,1662556.0,1
ARES CAPITAL CORP,Utilities,1655660.0,1
PAR PACIFIC HOLDINGS INC,Energy; Chemicals/Materials,1644604.0,5
LSB INDUSTRIES INC,Chemicals/Materials,1623983.0,3
LEA POWER PARTNERS LLC,Utilities,1600257.0,1
"Reorganized Heritage TopCo, LLC",Utilities,1589532.0,4
CPV VALLEY LLC,Utilities,1589336.0,1
MGE ENERGY INC,Utilities,1573126.33,4
SOUTHWEST GENERATION OPERATING CO LLC,Utilities,1539551.0,5
SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY,Utilities,1534578.0,3
PANDA TEMPLE POWER II LLC,Utilities,1532276.5,1
TEMPLE GENERATION I LLC,Utilities,1532276.5,1
J-POWER USA DEVELOPMENT CO LTD,Utilities,1510025.0,1
ONWARD ENERGY LLC,Utilities,1504545.0,1
VICINITY ENERGY INC,Utilities,1486296.0,2
THE MOSAIC CO,Chemicals/Materials,1483458.0,5
SIKESTON BOARD OF MUNICIPAL UTILITIES,Utilities,1466563.0,1
ARIZONA ELECTRIC POWER COOPERATIVE INC,Utilities,1458091.0,1
ARES MANAGEMENT CORP,Utilities,1454174.4,1
DYNO NOBEL,Chemicals/Materials,1434652.0,3
SASOL USA CORP,Chemicals/Materials,1423647.5,2
EAST TEXAS ELECTRIC COOPERATIVE INC,Utilities,1411686.08,6
MDU RESOURCES GROUP INC,Utilities,1409759.61,4
JERA POWER LINDEN LLC,Utilities,1406043.5,1
OLIN CORP,Chemicals/Materials,1404000.0,1
ARLINGTON VALLEY LLC,Utilities,1386239.0,1
RHODE ISLAND STATE ENERGY CENTER LP,Utilities,1361848.0,1
WESTERN FARMERS ELECTRIC COOPERATIVE,Utilities,1351555.0,3
IOWA FERTLIZER CO LLC,Chemicals/Materials,1350065.0,1
HOLLYFRONTIER CORP,Energy; Chemicals/Materials,1321638.0,3
NEWARK ENERGY CENTER LLC,Utilities,1306853.0,1
CALIFORNIA RESOURCES CORP,Utilities; Energy,1305576.0,1
WABASH VALLEY POWER ASSOC,Utilities,1301177.01,4
"J-Power USA Investment Co, Ltd",Utilities,1299717.15,1
CITY OF TALLAHASSEE FLORIDA,Utilities,1294195.0,2
LINDE GAS NORTH AMERICA LLC,Chemicals/Materials,1286746.0,1
AMERICAN MUNICIPAL POWER INC,Utilities,1277562.0,1
INTEGRYS ENERGY GROUP INC,Utilities,1270809.92,1
"Gulf Energy USA, LLC",Utilities,1248747.85,1
AVANGRID INC,Utilities,1246460.0,2
JERA ENERGY AMERICA LLC,Utilities,1242267.5,3
Lotus Infrastructure Partners,Utilities,1242267.5,3
Rayburn Energy Station LLC,Utilities,1242048.0,1
OHIO POWER PARTNERS LLC,Utilities,1231069.0,1
RED OAK POWER LLC,Utilities,1228375.0,1
ADVANSIX INC,Chemicals/Materials,1227774.0,1
EMPIRE ACQUISITION LLC,Utilities,1219364.0,1
WALLEYE POWER LLC,Utilities,1219133.0,1
DELTA AIR LINES INC,Energy,1213827.0,1
LIMA REFINING CO,Energy,1205035.0,1
SABIC US HOLDINGS LP,Utilities; Chemicals/Materials,1202946.0,2
BAYPORT POLYMERS LLC,Chemicals/Materials,1167421.0,1
HOMER CITY GENERATION LP,Utilities,1154482.0,1
BASTROP ENERGY PARTNERS LP,Utilities,1153440.0,1
SCHUYLKILL ENERGY RESOURCES INC,Utilities,1133245.0,1
SOUTHERN MINNESOTA MUNICIPAL POWER AGENCY,Utilities,1118922.99,1
COLORADO BEND 1 POWER LLC,Utilities,1112844.0,1
STARWOOD CAPITAL GROUP LLC,Utilities,1098872.0,1
Hull Street Energy,Utilities,1082257.0,1
ENERGY TRANSITION & ENVIRONMENTAL MANAGEMENT LLC,Utilities,1076241.0,1
