parent_company,sector,total_scope1_emissions_mtco2e,facility_count
ARCTIC SLOPE REGIONAL CORP,Energy; Chemicals/Materials,112596.0,2
BUCKEYE PARTNERS LP,Energy,110298.0,1
WASHINGTON MILLS GROUP INC,Chemicals/Materials,108759.0,1
THE WALT DISNEY CO,Utilities; Energy,108270.36,1
Rock Energy Cooperative,Utilities,106112.15,1
PEAKER POWER LLC,Utilities,105900.0,2
ARKEMA DELAWARE INC,Chemicals/Materials,105680.0,1
SAN JOAQUIN REFINING CO INC,Energy; Chemicals/Materials,104485.5,2
CITY OF BRYAN TEXAS,Utilities,100845.0,1
CASTILLO INVESTMENT HOLDINGS LLC,Utilities,99010.08,1
HARRISON STREET SOCIAL INFRASTRUCTURE FUND LP,Utilities,98388.01,1
MGE Energy Inc,Utilities,97508.46,1
AXINFRA US P-1 LP,Utilities,97444.57,1
NORTH CAROLINA ELECTRIC MEMBERSHIP CORP,Utilities,96430.0,2
CITY OF WEST MEMPHIS ARKANSAS,Utilities,95454.15,2
SHELBY COUNTY ENERGY CENTER LLC,Utilities,93623.0,1
RTX CORP,Utilities,93595.0,1
KANSAS ELECTRIC POWER COOPERATIVE INC,Utilities,93275.42,1
"Tremolo Energy, LLC",Utilities,91503.0,2
GENERAL ELECTRIC CO,Utilities,90249.0,2
BROOKFIELD RENEWABLE ENERGY PARTNERS LP,Utilities,89737.0,1
ALGONQUIN POWER WINDSOR LOCKS LLC,Utilities,87638.0,1
ENTERGY TEXAS INC,Utilities,85702.0,1
SABIC INNOVATIVE PLASTICS US LLC,Chemicals/Materials,85118.81,1
SEPG MGA LLC,Utilities,84063.0,1
CITY OF VINELAND NEW JERSEY,Utilities,83744.0,2
WASHINGTON COUNTY POWER LLC,Utilities,82490.0,1
FORTISTAR LLC,Utilities,82332.0,2
SAM RAYBURN G&T ELECTRIC COOPERATIVE INC,Utilities,78912.18,1
MANITOWOC PUBLIC UTILITIES (INC),Utilities,76260.0,1
CITY OF GARLAND TEXAS,Utilities,75575.0,1
MPH ROCKAWAY PEAKERS HOLDCO LLC,Utilities,75535.0,1
ALPONT LLC,Chemicals/Materials,73769.0,1
EVONIK CORP,Chemicals/Materials,73207.0,1
GEPIF III LEXINGTON INVESTCO LP,Utilities,72929.64,1
ALLEGIANCE REFINING LLC,Energy,71715.0,1
ONEOK INC,Energy,71585.0,1
PG COACHELLA POWER HOLDINGS INC,Utilities,71540.5,1
VOLTAGE FINANCE LLC,Utilities,71540.5,1
ALTERNA CAPITAL PARTNERS,Utilities,70367.0,1
TEJAS POWER GENERATION LLC,Utilities,68462.85,2
AL SANDERSVILLE LLC,Utilities,66586.0,1
GREEN VALLEY CHEMICAL CORP,Chemicals/Materials,65745.0,1
CITY OF ST GEORGE UTAH,Utilities,65482.0,1
PROMAN USA INC,Chemicals/Materials,63529.0,1
CITY OF ATLANTIC IOWA,Utilities,61553.08,1
HARTREE CHANNELVIEW LLC,Energy,61325.0,1
THE INTERNATIONAL GROUP INC,Energy,60943.0,2
CITY OF HIBBING MINNESOTA,Energy,60198.0,1
JERA AMERICAS HOLDINGS INC,Utilities,59861.0,1
TEXAS INTERNATIONAL REFINING CO LLC,Energy,59783.0,1
NE NITRO GENEVA LLC,Chemicals/Materials,57632.0,1
PIXELLE SPECIALTY SOLUTIONS LLC,Utilities,56679.0,1
CITY OF CHANUTE KANSAS,Utilities,56053.0,1
LAFAYETTE CITY PARISH CONSOLIDATED GOVERNMENT,Utilities,55877.0,2
MARTIN MIDSTREAM PARTNERS LP,Energy; Chemicals/Materials,55520.0,1
DCO ENERGY LLC,Utilities,55477.0,1
HARRISON STREET SOCIAL INFRASTRUCTURE FUND B LP,Utilities,55259.02,1
IIF US HOLDING LP,Utilities,52926.0,1
BRUSH POWER LLC,Utilities,52391.32,1
BRUCE POWER LLC,Utilities,51309.0,1
MEXICHEM FLUOR INC,Chemicals/Materials,51198.0,1
SOLVAY HOLDING INC,Chemicals/Materials,50068.0,1
EARTHRISE LEGATO LLC,Utilities,49966.0,2
TRES POWER LLC,Utilities,49462.0,2
GREENVILLE ELECTRIC UTILITY SYSTEM,Utilities,49395.0,1
ICL SPECIALTY PRODUCTS NORTH AMERICA INC,Chemicals/Materials,49155.0,1
CITY OF SAN MARCOS TEXAS,Utilities,47484.22,1
NORTHWEST IOWA POWER COOPERATIVE,Utilities,46835.58,1
TRAMMO INC,Chemicals/Materials,46591.0,1
CASTLETON ENERGY CENTER LLC,Utilities,45912.0,1
GEORGIA ENERGY COOP,Utilities,42099.0,1
CITY OF WAVERLY IOWA,Utilities,40601.45,1
CLEAN HARBORS INC,Chemicals/Materials,39078.0,1
WORLD OIL CORP,Energy,38843.0,1
TAUNTON MUNICIPAL LIGHTING PLANT,Utilities,31764.0,1
CITY OF RIVERSIDE PUBLIC UTILITY,Utilities,30694.0,1
FAMILY & ESTATE OF WALTER SCOTT JR,Utilities,29658.62,2
MPC GENERATING LLC,Utilities,29377.0,1
ALABAMA MUNICIPAL ELECTRIC AUTHORITY,Utilities,28404.0,1
CITY OF GLENDALE CALIFORNIA,Utilities,28343.0,1
ALGONA MUNICIPAL UTILITIES,Utilities,28332.63,1
BERKSHIRE POWER CO,Utilities,27807.0,1
CITY OF JAMESTOWN NEW YORK,Utilities,27141.0,1
GREAT PLAINS ENERGY SERVICES INC,Utilities,26324.0,1
CLARION ENERGY LLC,Utilities,25804.68,1
CITY OF WEBSTER CITY IOWA,Utilities,25056.07,1
ROCKLAND POWER PARTNERS III LP,Utilities,24906.0,1
HILCORP ENERGY CO,Energy,24649.0,1
CITY OF PASADENA CALIFORNIA,Utilities,23889.0,1
ALLIANCE ENERGY GROUP LLC,Utilities,23700.0,7
MPH WATERBURY LLC,Utilities,21363.0,1
BEAR MOUNTAIN LTD,Utilities,21205.0,1
CITY OF LUBBOCK TEXAS TEXAS,Utilities,20610.0,2
MCKITTRICK LLC,Utilities,19968.0,1
BRAINTREE ELECTRIC LIGHT DEPARTMENT,Utilities,18347.0,1
TYR ENERGY INC,Utilities,18058.0,1
SAPPHIRE POWER HOLDINGS LLC,Utilities,17608.0,1
TERREBONNE PARISH CONSOLIDATED GOVERNMENT,Utilities,17219.0,1
Enery Holdings LLC,Utilities,16271.0,1
WALTER SCOTT JR,Utilities,16211.84,2
CITY OF VIRGINIA MINNESOTA,Energy,16139.0,1
ALPHABET INC,Utilities,15853.46,1
MASSACHUSETTS MUNICIPAL WHOLESALE ELECTRIC CO,Utilities,15502.72,1
SKY QUARRY INC,Energy,15487.0,1
LIVE OAK LTD,Utilities,15152.0,1
REENERGY BLACK RIVER LLC,Utilities,13625.0,1
FREEPORT ELECTRIC,Utilities,13413.0,1
SOWEGA ENERGY RESOURCES LLC,Utilities,12955.15,1
HAWKEYE ENERGY GREENPORT LLC,Utilities,12873.0,1
WELLHEAD ELECTRIC CO,Utilities,12643.0,1
BRIGHTSOURCE ENERGY INC,Utilities,12299.12,1
BADGER CREEK LTD,Utilities,12078.0,1
MRP Rocky Road LLC,Utilities,11937.0,1
SPENCER MUNICIPAL UTILITIES,Utilities,11757.08,1
DANSKAMMER ENERGY LLC,Utilities,11678.0,1
PRAIRIE POWER INC,Utilities,11569.0,1
ALBANY GREEN ENERGY LLC,Utilities,11245.0,1
MCPHERSON BOARD OF PUBLIC UTILITIES,Utilities,11169.0,1
DELAWARE MUNICIPAL ELECTRIC COORPORATION,Utilities,11047.0,1
PITTSFIELD GENERATING CO LP,Utilities,10631.0,1
CEDAR FALLS UTILITIES,Utilities,10497.0,1
AIM Development USA LLC,Utilities,9334.0,1
GOODWAY REFINING LLC,Energy,8772.0,1
ALGONQUIN POWER SANGER LLC,Utilities,8237.0,1
WYANDOTTE MUNICIPAL SERVICES,Utilities,8220.0,1
LOTUS INFRASTRUTURE PARTNERS,Utilities,8166.0,1
CITY OF COFFEYVILLE KANSAS,Utilities,7494.0,1
CITY OF COLTON CALIFORNIA,Utilities,6120.0,1
HARVEST MIDSTREAM CO,Energy,6046.0,1
AXEON SPECIALTY PRODUCTS,Energy,5959.0,1
AG ENERGY PARTNERS LP,Utilities,5752.0,1
LSP-COTTAGE GROVE LLC,Utilities,4736.42,1
COLUMBIA CITY OF (INC),Utilities,3823.0,1
MPH Oxnard LLC,Utilities,3043.0,1
GREGORY E ABEL REVOCABLE TRUST,Utilities,2932.96,1
AIRGAS INC,Chemicals/Materials,2299.0,1
Emerald People's Utility District,Utilities,1731.0,1
STANTON ENERGY RELIABILITY CENTER LLC,Utilities,1634.0,1
GREEN MOUNTAIN POWER CORP,Utilities,1503.13,1
REEDY CREEK IMPROVEMENT DISTRICT,Utilities; Energy,1093.64,1
CITY OF LAKE WORTH FLORIDA,Utilities,697.0,1
PORT HAMILTON REFINING & TRANSPORTATION LLLP,Energy,562.0,1
